iteration,best,mean,worst
0,7.00000,3.20000,0.00000
1,7.00000,4.00000,0.00000
2,35.00000,11.00000,4.00000
3,35.00000,12.20000,4.00000
4,67.00000,24.80000,5.00000
5,67.00000,27.00000,7.00000
6,67.00000,27.20000,8.00000
7,67.00000,29.80000,10.00000
8,67.00000,34.80000,16.00000
9,67.00000,36.60000,21.00000
10,67.00000,38.40000,25.00000
11,67.00000,38.40000,25.00000
12,67.00000,38.40000,25.00000
13,67.00000,38.40000,25.00000
14,67.00000,38.40000,25.00000
15,67.00000,44.20000,30.00000
16,67.00000,44.20000,30.00000
17,67.00000,44.20000,30.00000
18,67.00000,44.80000,33.00000
19,67.00000,44.80000,33.00000
20,67.00000,44.80000,33.00000
21,67.00000,44.80000,33.00000
22,181.00000,74.40000,35.00000
23,181.00000,74.40000,35.00000
24,181.00000,74.40000,35.00000
25,390.00000,145.40000,35.00000
26,390.00000,145.40000,35.00000
27,390.00000,154.20000,54.00000
28,390.00000,154.20000,54.00000
29,390.00000,201.60000,67.00000
30,390.00000,201.60000,67.00000
31,395.00000,267.20000,79.00000
32,395.00000,267.20000,79.00000
33,395.00000,267.20000,79.00000
34,395.00000,267.20000,79.00000
35,395.00000,328.60000,181.00000
36,395.00000,328.60000,181.00000
37,395.00000,351.20000,291.00000
38,395.00000,359.80000,294.00000
39,395.00000,359.80000,294.00000
40,395.00000,380.00000,334.00000
41,395.00000,380.00000,334.00000
42,395.00000,380.00000,334.00000
43,395.00000,388.60000,377.00000
44,395.00000,388.60000,377.00000
45,395.00000,391.60000,386.00000
46,395.00000,391.60000,386.00000
47,395.00000,391.60000,386.00000
48,395.00000,391.60000,386.00000
49,395.00000,391.60000,386.00000
50,395.00000,391.60000,386.00000
51,395.00000,391.60000,386.00000
52,395.00000,391.60000,386.00000
53,395.00000,391.60000,386.00000
54,395.00000,391.60000,386.00000
55,395.00000,391.60000,386.00000
56,395.00000,391.60000,386.00000
57,395.00000,391.60000,386.00000
58,395.00000,391.60000,386.00000
59,395.00000,392.40000,390.00000
60,395.00000,392.40000,390.00000
61,395.00000,392.40000,390.00000
62,395.00000,392.40000,390.00000
63,397.00000,393.80000,390.00000
64,397.00000,393.80000,390.00000
65,397.00000,393.80000,390.00000
66,397.00000,393.80000,390.00000
67,397.00000,393.80000,390.00000
68,397.00000,393.80000,390.00000
69,397.00000,393.80000,390.00000
70,397.00000,393.80000,390.00000
71,397.00000,393.80000,390.00000
72,397.00000,394.40000,392.00000
73,397.00000,394.40000,392.00000
74,397.00000,394.40000,392.00000
75,397.00000,394.40000,392.00000
76,397.00000,394.40000,392.00000
77,397.00000,394.40000,392.00000
78,397.00000,394.40000,392.00000
79,397.00000,394.40000,392.00000
80,397.00000,394.40000,392.00000
81,397.00000,394.40000,392.00000
82,397.00000,394.40000,392.00000
83,397.00000,395.20000,393.00000
84,397.00000,395.20000,393.00000
85,398.00000,396.20000,395.00000
86,398.00000,396.20000,395.00000
87,398.00000,396.60000,395.00000
88,398.00000,397.00000,396.00000
89,398.00000,397.20000,397.00000
90,398.00000,397.20000,397.00000
91,398.00000,397.20000,397.00000
92,398.00000,397.20000,397.00000
93,398.00000,397.20000,397.00000
94,398.00000,397.20000,397.00000
95,398.00000,397.20000,397.00000
96,398.00000,397.20000,397.00000
97,398.00000,397.20000,397.00000
98,398.00000,397.20000,397.00000
99,398.00000,397.20000,397.00000
