iteration,best,mean,worst
0,329.00000,16.00000,0.00000
1,385.00000,40.70000,2.00000
2,302.00000,73.14000,0.00000
3,389.00000,113.54000,7.00000
4,394.00000,120.86000,6.00000
5,396.00000,128.84000,27.00000
6,397.00000,200.98000,16.00000
7,398.00000,203.24000,15.00000
8,398.00000,191.90000,35.00000
9,399.00000,223.42000,17.00000
