iteration,best,mean,worst
0,8.00000,2.00000,0.00000
1,8.00000,2.00000,0.00000
2,8.00000,2.60000,0.00000
3,8.00000,2.80000,0.00000
4,8.00000,2.80000,0.00000
5,8.00000,3.00000,1.00000
6,8.00000,3.00000,1.00000
7,8.00000,3.00000,1.00000
8,8.00000,3.00000,1.00000
9,8.00000,3.00000,1.00000
10,8.00000,3.00000,1.00000
11,8.00000,3.00000,1.00000
12,8.00000,3.00000,1.00000
13,8.00000,3.00000,1.00000
14,8.00000,3.00000,1.00000
15,19.00000,6.60000,1.00000
16,19.00000,8.00000,2.00000
17,19.00000,8.00000,2.00000
18,19.00000,8.00000,2.00000
19,19.00000,8.00000,2.00000
20,19.00000,8.00000,2.00000
21,19.00000,8.60000,3.00000
22,19.00000,9.00000,5.00000
23,19.00000,9.00000,5.00000
24,19.00000,9.00000,5.00000
25,19.00000,9.60000,5.00000
26,19.00000,9.60000,5.00000
27,19.00000,9.60000,5.00000
28,19.00000,9.60000,5.00000
29,19.00000,9.60000,5.00000
30,95.00000,27.60000,8.00000
31,95.00000,34.60000,8.00000
32,95.00000,34.60000,8.00000
33,95.00000,42.00000,8.00000
34,95.00000,59.40000,19.00000
35,106.00000,76.80000,43.00000
36,106.00000,80.00000,45.00000
37,106.00000,80.00000,45.00000
38,106.00000,80.00000,45.00000
39,106.00000,81.80000,54.00000
40,106.00000,82.80000,59.00000
41,106.00000,82.80000,59.00000
42,106.00000,82.80000,59.00000
43,106.00000,86.80000,59.00000
44,132.00000,101.40000,79.00000
45,132.00000,101.40000,79.00000
46,132.00000,101.40000,79.00000
47,276.00000,140.80000,95.00000
48,276.00000,162.00000,95.00000
49,276.00000,172.00000,106.00000
50,276.00000,172.00000,106.00000
51,276.00000,172.00000,106.00000
52,276.00000,172.00000,106.00000
53,276.00000,172.00000,106.00000
54,276.00000,176.60000,129.00000
55,276.00000,194.80000,132.00000
56,347.00000,237.80000,145.00000
57,347.00000,237.80000,145.00000
58,347.00000,237.80000,145.00000
59,347.00000,237.80000,145.00000
60,347.00000,237.80000,145.00000
61,395.00000,287.80000,201.00000
62,395.00000,287.80000,201.00000
63,395.00000,287.80000,201.00000
64,395.00000,287.80000,201.00000
65,395.00000,287.80000,201.00000
66,395.00000,287.80000,201.00000
67,395.00000,287.80000,201.00000
68,395.00000,287.80000,201.00000
69,395.00000,287.80000,201.00000
70,395.00000,287.80000,201.00000
71,395.00000,287.80000,201.00000
72,395.00000,287.80000,201.00000
73,395.00000,287.80000,201.00000
74,395.00000,287.80000,201.00000
75,395.00000,287.80000,201.00000
76,395.00000,287.80000,201.00000
77,395.00000,287.80000,201.00000
78,395.00000,306.40000,220.00000
79,395.00000,306.40000,220.00000
80,395.00000,306.40000,220.00000
81,395.00000,306.40000,220.00000
82,395.00000,306.40000,220.00000
83,395.00000,306.40000,220.00000
84,395.00000,340.60000,276.00000
85,395.00000,340.60000,276.00000
86,395.00000,340.60000,276.00000
87,395.00000,340.60000,276.00000
88,395.00000,340.60000,276.00000
89,395.00000,340.60000,276.00000
90,395.00000,340.60000,276.00000
91,395.00000,340.60000,276.00000
92,395.00000,340.60000,276.00000
93,395.00000,340.60000,276.00000
94,395.00000,340.60000,276.00000
95,395.00000,340.60000,276.00000
96,395.00000,340.60000,276.00000
97,395.00000,340.60000,276.00000
98,395.00000,340.60000,276.00000
99,395.00000,340.60000,276.00000
