iteration,best,mean,worst
0,21.00000,10.60000,1.00000
1,21.00000,10.60000,1.00000
2,21.00000,10.60000,1.00000
3,21.00000,13.60000,9.00000
4,21.00000,13.60000,9.00000
5,21.00000,13.60000,9.00000
6,21.00000,13.60000,9.00000
7,21.00000,13.60000,9.00000
8,41.00000,20.00000,10.00000
9,41.00000,20.00000,10.00000
10,41.00000,20.00000,10.00000
11,41.00000,22.80000,12.00000
12,41.00000,28.00000,16.00000
13,41.00000,28.80000,20.00000
14,41.00000,29.00000,21.00000
15,41.00000,30.60000,21.00000
16,41.00000,30.60000,21.00000
17,41.00000,30.60000,21.00000
18,41.00000,30.60000,21.00000
19,41.00000,30.60000,21.00000
20,41.00000,30.60000,21.00000
21,41.00000,30.60000,21.00000
22,41.00000,32.60000,24.00000
23,41.00000,32.60000,24.00000
24,41.00000,33.00000,26.00000
25,41.00000,33.20000,27.00000
26,41.00000,33.20000,27.00000
27,41.00000,34.20000,29.00000
28,41.00000,34.20000,29.00000
29,41.00000,34.20000,29.00000
30,41.00000,34.20000,29.00000
31,41.00000,34.20000,29.00000
32,41.00000,34.20000,29.00000
33,41.00000,34.20000,29.00000
34,75.00000,43.40000,31.00000
35,75.00000,47.40000,32.00000
36,75.00000,47.40000,32.00000
37,75.00000,47.40000,32.00000
38,75.00000,52.60000,38.00000
39,75.00000,52.60000,38.00000
40,75.00000,52.60000,38.00000
41,75.00000,52.60000,38.00000
42,75.00000,52.60000,38.00000
43,75.00000,55.80000,41.00000
44,75.00000,55.80000,41.00000
45,75.00000,57.40000,49.00000
46,75.00000,59.80000,51.00000
47,75.00000,59.80000,51.00000
48,75.00000,59.80000,51.00000
49,75.00000,59.80000,51.00000
50,75.00000,59.80000,51.00000
51,75.00000,59.80000,51.00000
52,75.00000,59.80000,51.00000
53,75.00000,59.80000,51.00000
54,75.00000,59.80000,51.00000
55,75.00000,59.80000,51.00000
56,75.00000,59.80000,51.00000
57,75.00000,59.80000,51.00000
58,75.00000,59.80000,51.00000
59,137.00000,77.00000,54.00000
60,137.00000,77.00000,54.00000
61,137.00000,78.20000,58.00000
62,137.00000,78.20000,58.00000
63,137.00000,78.20000,58.00000
64,137.00000,78.20000,58.00000
65,137.00000,81.80000,60.00000
66,137.00000,83.20000,61.00000
67,137.00000,96.40000,67.00000
68,201.00000,123.20000,75.00000
69,201.00000,131.80000,76.00000
70,201.00000,131.80000,76.00000
71,201.00000,137.20000,103.00000
72,201.00000,137.20000,103.00000
73,201.00000,138.60000,110.00000
74,201.00000,138.60000,110.00000
75,256.00000,167.80000,118.00000
76,256.00000,167.80000,118.00000
77,256.00000,167.80000,118.00000
78,256.00000,185.20000,127.00000
79,256.00000,185.20000,127.00000
80,256.00000,185.20000,127.00000
81,389.00000,237.60000,137.00000
82,389.00000,237.60000,137.00000
83,389.00000,250.20000,200.00000
84,389.00000,250.20000,200.00000
85,389.00000,250.20000,200.00000
86,398.00000,289.80000,201.00000
87,398.00000,289.80000,201.00000
88,398.00000,289.80000,201.00000
89,398.00000,289.80000,201.00000
90,398.00000,289.80000,201.00000
91,398.00000,326.60000,205.00000
92,398.00000,326.60000,205.00000
93,398.00000,326.60000,205.00000
94,398.00000,329.40000,219.00000
95,398.00000,329.40000,219.00000
96,399.00000,365.40000,256.00000
97,399.00000,365.40000,256.00000
98,399.00000,365.40000,256.00000
99,399.00000,372.80000,293.00000
