iteration,best,mean,worst
0,16.00000,6.40000,1.00000
1,16.00000,6.40000,1.00000
2,16.00000,6.40000,1.00000
3,16.00000,6.40000,1.00000
4,16.00000,6.40000,1.00000
5,251.00000,56.40000,4.00000
6,251.00000,70.00000,5.00000
7,251.00000,70.00000,5.00000
8,251.00000,70.40000,6.00000
9,251.00000,73.20000,7.00000
10,251.00000,83.00000,16.00000
11,251.00000,83.20000,17.00000
12,251.00000,100.40000,20.00000
13,251.00000,100.40000,20.00000
14,251.00000,119.00000,56.00000
15,251.00000,119.00000,56.00000
16,251.00000,132.60000,72.00000
17,251.00000,142.20000,103.00000
18,251.00000,142.20000,103.00000
19,251.00000,156.40000,113.00000
20,251.00000,156.40000,113.00000
21,251.00000,160.60000,120.00000
22,251.00000,160.60000,120.00000
23,251.00000,160.60000,120.00000
24,251.00000,164.00000,124.00000
25,251.00000,164.00000,124.00000
26,251.00000,164.00000,124.00000
27,251.00000,167.60000,134.00000
28,251.00000,167.60000,134.00000
29,251.00000,167.60000,134.00000
30,251.00000,167.60000,134.00000
31,251.00000,180.80000,137.00000
32,251.00000,186.20000,142.00000
33,251.00000,186.20000,142.00000
34,397.00000,237.20000,164.00000
35,397.00000,237.20000,164.00000
36,397.00000,237.20000,164.00000
37,397.00000,237.20000,164.00000
38,397.00000,237.20000,164.00000
39,397.00000,237.20000,164.00000
40,397.00000,237.20000,164.00000
41,397.00000,237.20000,164.00000
42,397.00000,242.40000,174.00000
43,397.00000,249.40000,190.00000
44,397.00000,258.40000,200.00000
45,397.00000,258.40000,200.00000
46,397.00000,258.40000,200.00000
47,397.00000,258.40000,200.00000
48,397.00000,258.40000,200.00000
49,397.00000,258.40000,200.00000
50,397.00000,258.40000,200.00000
51,397.00000,297.00000,209.00000
52,397.00000,297.00000,209.00000
53,397.00000,297.00000,209.00000
54,397.00000,297.00000,209.00000
55,397.00000,297.00000,209.00000
56,397.00000,297.00000,209.00000
57,397.00000,297.00000,209.00000
58,397.00000,297.00000,209.00000
59,397.00000,297.00000,209.00000
60,397.00000,297.00000,209.00000
61,397.00000,297.00000,209.00000
62,397.00000,308.00000,235.00000
63,397.00000,308.00000,235.00000
64,397.00000,308.00000,235.00000
65,397.00000,308.00000,235.00000
66,397.00000,308.00000,235.00000
67,397.00000,315.80000,251.00000
68,397.00000,315.80000,251.00000
69,397.00000,315.80000,251.00000
70,397.00000,315.80000,251.00000
71,397.00000,315.80000,251.00000
72,397.00000,315.80000,251.00000
73,397.00000,315.80000,251.00000
74,397.00000,315.80000,251.00000
75,397.00000,344.00000,264.00000
76,397.00000,352.80000,274.00000
77,397.00000,361.80000,308.00000
78,397.00000,361.80000,308.00000
79,397.00000,361.80000,308.00000
80,397.00000,361.80000,308.00000
81,397.00000,361.80000,308.00000
82,397.00000,361.80000,308.00000
83,397.00000,361.80000,308.00000
84,397.00000,361.80000,308.00000
85,397.00000,363.80000,318.00000
86,397.00000,376.80000,319.00000
87,397.00000,376.80000,319.00000
88,397.00000,390.40000,383.00000
89,397.00000,390.40000,383.00000
90,397.00000,390.40000,383.00000
91,397.00000,391.40000,387.00000
92,397.00000,391.40000,387.00000
93,397.00000,392.60000,388.00000
94,397.00000,392.60000,388.00000
95,397.00000,394.00000,392.00000
96,397.00000,394.00000,392.00000
97,397.00000,394.00000,392.00000
98,397.00000,394.00000,392.00000
99,397.00000,394.00000,392.00000
