iteration,best,mean,worst
0,12.00000,3.20000,0.00000
1,12.00000,3.20000,0.00000
2,12.00000,3.20000,0.00000
3,12.00000,3.20000,0.00000
4,68.00000,16.80000,0.00000
5,68.00000,20.80000,1.00000
6,68.00000,24.40000,3.00000
7,68.00000,29.60000,12.00000
8,68.00000,35.60000,19.00000
9,68.00000,43.00000,20.00000
10,70.00000,53.00000,29.00000
11,70.00000,53.00000,29.00000
12,70.00000,54.40000,36.00000
13,70.00000,54.40000,36.00000
14,70.00000,58.80000,42.00000
15,70.00000,58.80000,42.00000
16,70.00000,58.80000,42.00000
17,70.00000,58.80000,42.00000
18,70.00000,58.80000,42.00000
19,70.00000,60.40000,50.00000
20,83.00000,67.00000,56.00000
21,83.00000,67.00000,56.00000
22,83.00000,67.00000,56.00000
23,83.00000,67.00000,56.00000
24,83.00000,67.00000,56.00000
25,83.00000,67.00000,56.00000
26,83.00000,67.00000,56.00000
27,83.00000,67.00000,56.00000
28,83.00000,68.00000,58.00000
29,90.00000,74.40000,61.00000
30,90.00000,74.40000,61.00000
31,90.00000,74.40000,61.00000
32,90.00000,74.40000,61.00000
33,90.00000,74.40000,61.00000
34,90.00000,74.40000,61.00000
35,90.00000,74.40000,61.00000
36,90.00000,74.40000,61.00000
37,90.00000,78.40000,68.00000
38,90.00000,78.40000,68.00000
39,90.00000,81.20000,70.00000
40,90.00000,81.20000,70.00000
41,90.00000,81.20000,70.00000
42,130.00000,93.20000,81.00000
43,130.00000,93.20000,81.00000
44,130.00000,93.20000,81.00000
45,130.00000,101.20000,82.00000
46,130.00000,101.20000,82.00000
47,130.00000,101.20000,82.00000
48,130.00000,101.20000,82.00000
49,130.00000,101.20000,82.00000
50,130.00000,109.20000,83.00000
51,130.00000,109.20000,83.00000
52,130.00000,109.20000,83.00000
53,311.00000,154.80000,90.00000
54,311.00000,154.80000,90.00000
55,311.00000,154.80000,90.00000
56,311.00000,166.00000,121.00000
57,311.00000,166.00000,121.00000
58,311.00000,166.00000,121.00000
59,311.00000,178.60000,122.00000
60,311.00000,178.60000,122.00000
61,311.00000,179.20000,125.00000
62,311.00000,211.40000,130.00000
63,311.00000,219.00000,146.00000
64,311.00000,219.00000,146.00000
65,311.00000,219.00000,146.00000
66,311.00000,219.00000,146.00000
67,311.00000,244.40000,168.00000
68,311.00000,244.40000,168.00000
69,311.00000,249.80000,184.00000
70,311.00000,249.80000,184.00000
71,321.00000,277.20000,195.00000
72,396.00000,317.40000,273.00000
73,396.00000,317.40000,273.00000
74,396.00000,317.40000,273.00000
75,396.00000,317.40000,273.00000
76,396.00000,317.40000,273.00000
77,396.00000,317.40000,273.00000
78,396.00000,322.40000,286.00000
79,396.00000,344.00000,298.00000
80,396.00000,344.00000,298.00000
81,396.00000,344.00000,298.00000
82,396.00000,344.00000,298.00000
83,396.00000,344.00000,298.00000
84,396.00000,344.00000,298.00000
85,396.00000,344.00000,298.00000
86,396.00000,344.00000,298.00000
87,396.00000,344.00000,298.00000
88,396.00000,344.00000,298.00000
89,396.00000,344.00000,298.00000
90,396.00000,344.00000,298.00000
91,396.00000,344.00000,298.00000
92,396.00000,344.00000,298.00000
93,396.00000,344.00000,298.00000
94,396.00000,344.00000,298.00000
95,396.00000,344.00000,298.00000
96,396.00000,344.00000,298.00000
97,396.00000,344.00000,298.00000
98,396.00000,361.60000,311.00000
99,396.00000,361.60000,311.00000
