iteration,best,mean,worst
0,10.00000,2.60000,0.00000
1,10.00000,2.60000,0.00000
2,10.00000,2.60000,0.00000
3,38.00000,10.20000,0.00000
4,38.00000,10.20000,0.00000
5,172.00000,44.60000,0.00000
6,172.00000,59.00000,3.00000
7,179.00000,94.20000,10.00000
8,179.00000,120.20000,38.00000
9,179.00000,127.00000,72.00000
10,179.00000,127.40000,72.00000
11,179.00000,142.00000,74.00000
12,179.00000,142.00000,74.00000
13,179.00000,142.00000,74.00000
14,179.00000,142.00000,74.00000
15,179.00000,142.00000,74.00000
16,179.00000,142.00000,74.00000
17,179.00000,155.60000,140.00000
18,179.00000,155.60000,140.00000
19,179.00000,155.60000,140.00000
20,179.00000,155.60000,140.00000
21,180.00000,163.60000,142.00000
22,180.00000,163.60000,142.00000
23,180.00000,163.60000,142.00000
24,180.00000,163.60000,142.00000
25,180.00000,163.60000,142.00000
26,180.00000,168.60000,145.00000
27,180.00000,168.60000,145.00000
28,180.00000,170.20000,153.00000
29,392.00000,218.00000,167.00000
30,392.00000,232.20000,172.00000
31,392.00000,232.20000,172.00000
32,392.00000,232.20000,172.00000
33,392.00000,232.20000,172.00000
34,392.00000,232.20000,172.00000
35,392.00000,258.40000,179.00000
36,392.00000,258.40000,179.00000
37,392.00000,258.40000,179.00000
38,392.00000,258.40000,179.00000
39,392.00000,258.40000,179.00000
40,392.00000,258.40000,179.00000
41,392.00000,258.40000,179.00000
42,392.00000,258.40000,179.00000
43,392.00000,261.40000,180.00000
44,393.00000,304.00000,194.00000
45,393.00000,316.80000,238.00000
46,393.00000,316.80000,238.00000
47,393.00000,316.80000,238.00000
48,393.00000,316.80000,238.00000
49,393.00000,347.60000,258.00000
50,393.00000,347.60000,258.00000
51,393.00000,347.60000,258.00000
52,393.00000,347.60000,258.00000
53,393.00000,347.60000,258.00000
54,393.00000,347.60000,258.00000
55,393.00000,347.60000,258.00000
56,393.00000,347.60000,258.00000
57,393.00000,367.80000,303.00000
58,393.00000,384.00000,359.00000
59,396.00000,391.40000,384.00000
60,396.00000,393.40000,392.00000
61,396.00000,393.40000,392.00000
62,396.00000,393.40000,392.00000
63,396.00000,393.40000,392.00000
64,396.00000,393.40000,392.00000
65,396.00000,393.40000,392.00000
66,396.00000,393.40000,392.00000
67,396.00000,393.40000,392.00000
68,396.00000,393.40000,392.00000
69,396.00000,393.40000,392.00000
70,396.00000,393.40000,392.00000
71,396.00000,393.40000,392.00000
72,396.00000,393.40000,392.00000
73,396.00000,393.40000,392.00000
74,396.00000,393.40000,392.00000
75,396.00000,393.40000,392.00000
76,396.00000,393.40000,392.00000
77,396.00000,393.40000,392.00000
78,396.00000,393.60000,392.00000
79,396.00000,393.60000,392.00000
80,396.00000,393.60000,392.00000
81,396.00000,393.60000,392.00000
82,396.00000,393.60000,392.00000
83,396.00000,393.60000,392.00000
84,396.00000,393.60000,392.00000
85,396.00000,393.80000,393.00000
86,396.00000,393.80000,393.00000
87,396.00000,393.80000,393.00000
88,396.00000,394.00000,393.00000
89,396.00000,394.00000,393.00000
90,396.00000,394.00000,393.00000
91,396.00000,394.00000,393.00000
92,396.00000,394.00000,393.00000
93,396.00000,394.00000,393.00000
94,396.00000,394.00000,393.00000
95,396.00000,394.00000,393.00000
96,396.00000,394.00000,393.00000
97,396.00000,394.00000,393.00000
98,396.00000,394.00000,393.00000
99,396.00000,394.00000,393.00000
