iteration,best,mean,worst
0,10.00000,3.60000,1.00000
1,98.00000,23.00000,1.00000
2,98.00000,23.00000,1.00000
3,98.00000,23.00000,1.00000
4,98.00000,35.20000,2.00000
5,98.00000,36.00000,4.00000
6,98.00000,37.40000,6.00000
7,98.00000,40.00000,10.00000
8,98.00000,40.00000,10.00000
9,98.00000,40.00000,10.00000
10,98.00000,40.00000,10.00000
11,98.00000,40.00000,10.00000
12,98.00000,40.00000,10.00000
13,98.00000,40.00000,10.00000
14,98.00000,40.00000,10.00000
15,98.00000,41.20000,11.00000
16,98.00000,57.20000,16.00000
17,98.00000,60.00000,19.00000
18,98.00000,63.40000,30.00000
19,131.00000,83.60000,36.00000
20,131.00000,90.20000,62.00000
21,131.00000,90.20000,62.00000
22,131.00000,102.80000,69.00000
23,131.00000,102.80000,69.00000
24,131.00000,106.00000,85.00000
25,131.00000,106.00000,85.00000
26,131.00000,112.20000,91.00000
27,131.00000,112.20000,91.00000
28,131.00000,112.20000,91.00000
29,136.00000,121.20000,98.00000
30,136.00000,121.20000,98.00000
31,391.00000,179.80000,116.00000
32,391.00000,179.80000,116.00000
33,391.00000,199.00000,125.00000
34,391.00000,199.00000,125.00000
35,391.00000,199.00000,125.00000
36,391.00000,221.20000,131.00000
37,391.00000,236.40000,136.00000
38,391.00000,239.40000,151.00000
39,391.00000,239.40000,151.00000
40,391.00000,287.20000,207.00000
41,391.00000,287.20000,207.00000
42,391.00000,296.40000,212.00000
43,391.00000,296.40000,212.00000
44,391.00000,296.40000,212.00000
45,391.00000,297.20000,216.00000
46,391.00000,315.60000,236.00000
47,391.00000,315.60000,236.00000
48,391.00000,315.60000,236.00000
49,391.00000,316.80000,242.00000
50,391.00000,316.80000,242.00000
51,391.00000,316.80000,242.00000
52,391.00000,316.80000,242.00000
53,391.00000,316.80000,242.00000
54,391.00000,316.80000,242.00000
55,391.00000,316.80000,242.00000
56,391.00000,316.80000,242.00000
57,391.00000,316.80000,242.00000
58,391.00000,330.80000,253.00000
59,391.00000,330.80000,253.00000
60,391.00000,330.80000,253.00000
61,391.00000,330.80000,253.00000
62,391.00000,341.80000,308.00000
63,391.00000,341.80000,308.00000
64,391.00000,358.20000,308.00000
65,391.00000,365.60000,312.00000
66,391.00000,365.60000,312.00000
67,391.00000,365.60000,312.00000
68,391.00000,365.60000,312.00000
69,391.00000,365.60000,312.00000
70,398.00000,382.80000,345.00000
71,398.00000,382.80000,345.00000
72,398.00000,392.20000,390.00000
73,398.00000,392.20000,390.00000
74,398.00000,392.20000,390.00000
75,398.00000,392.20000,390.00000
76,398.00000,392.20000,390.00000
77,398.00000,392.40000,390.00000
78,398.00000,392.40000,390.00000
79,398.00000,392.40000,390.00000
80,398.00000,392.40000,390.00000
81,398.00000,392.40000,390.00000
82,398.00000,392.40000,390.00000
83,398.00000,392.40000,390.00000
84,398.00000,392.40000,390.00000
85,398.00000,392.40000,390.00000
86,398.00000,392.40000,390.00000
87,398.00000,392.40000,390.00000
88,398.00000,392.40000,390.00000
89,398.00000,392.40000,390.00000
90,398.00000,392.40000,390.00000
91,398.00000,392.40000,390.00000
92,398.00000,392.40000,390.00000
93,398.00000,392.40000,390.00000
94,398.00000,392.40000,390.00000
95,398.00000,392.40000,390.00000
96,398.00000,392.40000,390.00000
97,398.00000,392.40000,390.00000
98,398.00000,392.40000,390.00000
99,398.00000,392.40000,390.00000
