iteration,best,mean,worst
0,63.00000,14.00000,1.00000
1,63.00000,15.60000,2.00000
2,63.00000,17.20000,2.00000
3,63.00000,21.00000,2.00000
4,63.00000,21.20000,3.00000
5,63.00000,21.20000,3.00000
6,63.00000,29.40000,9.00000
7,63.00000,29.40000,9.00000
8,63.00000,29.40000,9.00000
9,63.00000,31.80000,10.00000
10,63.00000,34.00000,21.00000
11,63.00000,34.00000,21.00000
12,63.00000,34.00000,21.00000
13,63.00000,34.00000,21.00000
14,63.00000,35.00000,21.00000
15,63.00000,36.40000,21.00000
16,63.00000,36.40000,21.00000
17,63.00000,36.40000,21.00000
18,63.00000,36.40000,21.00000
19,63.00000,36.40000,21.00000
20,63.00000,44.40000,26.00000
21,63.00000,44.40000,26.00000
22,63.00000,44.40000,26.00000
23,63.00000,46.80000,28.00000
24,63.00000,48.80000,38.00000
25,77.00000,56.60000,38.00000
26,77.00000,56.60000,38.00000
27,77.00000,56.80000,39.00000
28,77.00000,56.80000,39.00000
29,77.00000,56.80000,39.00000
30,77.00000,56.80000,39.00000
31,77.00000,60.00000,44.00000
32,77.00000,60.00000,44.00000
33,77.00000,62.80000,55.00000
34,77.00000,64.60000,58.00000
35,77.00000,64.60000,58.00000
36,126.00000,78.20000,61.00000
37,150.00000,96.00000,63.00000
38,150.00000,96.00000,63.00000
39,150.00000,96.80000,64.00000
40,150.00000,96.80000,64.00000
41,150.00000,96.80000,64.00000
42,150.00000,96.80000,64.00000
43,150.00000,97.80000,67.00000
44,150.00000,97.80000,67.00000
45,150.00000,97.80000,67.00000
46,150.00000,97.80000,67.00000
47,150.00000,97.80000,67.00000
48,150.00000,97.80000,67.00000
49,150.00000,97.80000,67.00000
50,150.00000,107.80000,69.00000
51,150.00000,107.80000,69.00000
52,150.00000,107.80000,69.00000
53,150.00000,108.80000,74.00000
54,150.00000,108.80000,74.00000
55,150.00000,112.00000,77.00000
56,150.00000,121.00000,90.00000
57,150.00000,121.00000,90.00000
58,150.00000,121.00000,90.00000
59,182.00000,139.40000,117.00000
60,182.00000,139.40000,117.00000
61,182.00000,139.40000,117.00000
62,182.00000,139.40000,117.00000
63,182.00000,139.40000,117.00000
64,182.00000,139.40000,117.00000
65,182.00000,139.40000,117.00000
66,182.00000,140.60000,122.00000
67,182.00000,140.60000,122.00000
68,182.00000,140.60000,122.00000
69,182.00000,140.60000,122.00000
70,182.00000,140.60000,122.00000
71,182.00000,140.60000,122.00000
72,182.00000,140.60000,122.00000
73,182.00000,140.60000,122.00000
74,182.00000,140.60000,122.00000
75,233.00000,162.80000,123.00000
76,233.00000,162.80000,123.00000
77,233.00000,162.80000,123.00000
78,233.00000,172.40000,126.00000
79,233.00000,172.40000,126.00000
80,233.00000,172.40000,126.00000
81,233.00000,172.40000,126.00000
82,233.00000,172.40000,126.00000
83,233.00000,172.40000,126.00000
84,233.00000,172.40000,126.00000
85,233.00000,172.40000,126.00000
86,233.00000,172.40000,126.00000
87,295.00000,206.20000,150.00000
88,295.00000,206.20000,150.00000
89,295.00000,206.20000,150.00000
90,335.00000,243.20000,171.00000
91,335.00000,243.20000,171.00000
92,335.00000,243.20000,171.00000
93,335.00000,243.20000,171.00000
94,335.00000,243.20000,171.00000
95,335.00000,243.20000,171.00000
96,335.00000,243.20000,171.00000
97,335.00000,243.20000,171.00000
98,335.00000,243.20000,171.00000
99,335.00000,243.20000,171.00000
