iteration,best,mean,worst
0,109.00000,23.40000,0.00000
1,109.00000,23.40000,0.00000
2,109.00000,23.40000,0.00000
3,109.00000,23.60000,1.00000
4,109.00000,23.60000,1.00000
5,109.00000,24.00000,1.00000
6,109.00000,31.60000,2.00000
7,109.00000,36.60000,3.00000
8,109.00000,42.40000,5.00000
9,109.00000,42.80000,7.00000
10,109.00000,62.20000,27.00000
11,109.00000,70.20000,32.00000
12,242.00000,112.20000,39.00000
13,242.00000,112.20000,39.00000
14,242.00000,112.20000,39.00000
15,242.00000,112.20000,39.00000
16,242.00000,112.20000,39.00000
17,242.00000,112.20000,39.00000
18,242.00000,112.20000,39.00000
19,242.00000,112.20000,39.00000
20,242.00000,112.20000,39.00000
21,242.00000,125.60000,67.00000
22,242.00000,128.00000,79.00000
23,242.00000,128.00000,79.00000
24,242.00000,128.00000,79.00000
25,242.00000,128.00000,79.00000
26,242.00000,128.00000,79.00000
27,242.00000,128.00000,79.00000
28,242.00000,128.00000,79.00000
29,242.00000,128.00000,79.00000
30,242.00000,128.00000,79.00000
31,242.00000,128.00000,79.00000
32,242.00000,155.00000,104.00000
33,242.00000,155.00000,104.00000
34,242.00000,155.00000,104.00000
35,242.00000,155.00000,104.00000
36,242.00000,155.00000,104.00000
37,242.00000,155.00000,104.00000
38,242.00000,155.00000,104.00000
39,242.00000,155.00000,104.00000
40,242.00000,159.40000,106.00000
41,242.00000,159.40000,106.00000
42,242.00000,159.40000,106.00000
43,242.00000,159.40000,106.00000
44,242.00000,171.20000,109.00000
45,242.00000,171.20000,109.00000
46,242.00000,171.20000,109.00000
47,242.00000,180.40000,126.00000
48,242.00000,199.20000,155.00000
49,242.00000,199.20000,155.00000
50,242.00000,199.20000,155.00000
51,242.00000,199.20000,155.00000
52,242.00000,199.20000,155.00000
53,242.00000,199.20000,155.00000
54,242.00000,199.20000,155.00000
55,242.00000,199.20000,155.00000
56,242.00000,199.20000,155.00000
57,242.00000,199.20000,155.00000
58,242.00000,199.20000,155.00000
59,242.00000,199.20000,155.00000
60,242.00000,199.20000,155.00000
61,242.00000,199.20000,155.00000
62,295.00000,227.20000,165.00000
63,295.00000,227.20000,165.00000
64,295.00000,227.20000,165.00000
65,388.00000,271.80000,214.00000
66,388.00000,271.80000,214.00000
67,388.00000,271.80000,214.00000
68,388.00000,284.80000,220.00000
69,388.00000,284.80000,220.00000
70,388.00000,284.80000,220.00000
71,388.00000,284.80000,220.00000
72,388.00000,284.80000,220.00000
73,388.00000,284.80000,220.00000
74,388.00000,284.80000,220.00000
75,388.00000,290.80000,242.00000
76,388.00000,306.80000,250.00000
77,388.00000,309.40000,263.00000
78,388.00000,309.40000,263.00000
79,398.00000,336.40000,279.00000
80,398.00000,336.40000,279.00000
81,398.00000,340.80000,295.00000
82,398.00000,340.80000,295.00000
83,398.00000,340.80000,295.00000
84,398.00000,340.80000,295.00000
85,398.00000,340.80000,295.00000
86,398.00000,340.80000,295.00000
87,398.00000,360.80000,301.00000
88,398.00000,360.80000,301.00000
89,398.00000,360.80000,301.00000
90,398.00000,360.80000,301.00000
91,398.00000,360.80000,301.00000
92,398.00000,360.80000,301.00000
93,398.00000,360.80000,301.00000
94,398.00000,360.80000,301.00000
95,398.00000,360.80000,301.00000
96,398.00000,360.80000,301.00000
97,398.00000,360.80000,301.00000
98,398.00000,360.80000,301.00000
99,398.00000,360.80000,301.00000
