Run,Score,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
34,199,0.78068,-0.36131,-0.65668,0.26833,-0.53101,-1.08030,-1.19596,-0.49918,-1.11342,-0.92753,0.79685,0.44579,-0.45116,0.40167,-0.35681,-0.18632
35,199,-1.26754,-0.91098,-0.52418,0.18474,-0.67817,-0.62295,-0.10817,-0.81847,-0.94073,-0.51793,-0.43604,-0.17347,0.37226,0.42362,-0.84161,-0.19774
36,199,0.68026,-0.28638,0.28613,0.56362,-0.19428,-0.88804,-0.78982,-0.82712,-0.77392,-0.61003,-0.30125,0.85277,-0.31662,-0.93780,-0.30817,-0.03777
37,199,0.03894,-0.30355,-0.70159,0.39928,-0.23753,-1.08722,0.15672,-0.29496,-0.79207,0.33226,-0.07285,0.73887,-0.71595,-0.30937,0.99856,-0.13916
38,198,-0.15001,-0.89039,-0.77130,0.92975,-0.73881,0.37689,0.69644,-0.62583,-0.76709,-0.47001,-0.01703,0.74222,-0.60656,-0.68515,0.39286,-0.30541
39,198,0.60303,-0.01009,-0.85521,0.14867,-0.68747,-0.49703,0.06625,-0.79997,-0.73962,-0.03457,0.76610,0.93404,-0.49328,0.06909,-0.82081,0.14482
40,199,-0.88244,-0.11228,-0.60342,0.19533,-0.31980,-0.80148,0.37991,-0.01164,-1.03138,-0.33818,-0.62655,-0.03555,-0.31879,0.49167,-0.25010,-0.49812
41,199,0.70521,-0.29064,0.00246,-0.17956,-0.82412,0.45522,0.83964,-0.79738,-0.73094,-0.81222,0.35117,0.47873,-0.28457,0.12480,0.20744,0.12801
42,199,0.19285,0.64734,-0.52760,-0.16424,0.02185,-0.41501,0.12370,-0.29029,-0.54814,-0.28709,-0.71289,0.27197,-0.73198,0.04227,-0.88969,-0.24086
43,199,-0.15378,0.23368,-0.24313,-0.36846,-0.31795,-0.12410,-0.06113,0.01406,-0.44846,0.10806,0.56545,0.65651,0.82531,0.03387,-0.53275,-0.04617
44,199,-0.92061,0.01865,0.91772,0.45401,0.12578,-0.86970,-0.33816,-0.10464,-0.96781,-0.45333,-1.11111,0.87257,-0.07585,-0.00745,-0.33810,-0.11380
45,199,-0.02641,0.20004,-0.99645,-0.02714,-1.30167,0.07827,0.51173,-0.37768,-0.41255,-0.03900,-0.61962,0.13332,0.75093,-0.13718,-0.81615,0.18552
46,199,-0.70235,-0.33239,0.54128,0.96788,-0.00354,-0.30569,-0.40953,-0.28047,-0.51283,-0.74640,-0.78425,0.93756,-0.03528,-0.32060,-0.77202,0.06963
47,199,-0.42267,-0.56806,-0.24437,0.13306,-0.56004,-0.89004,-0.54803,-0.63381,-1.11412,0.48702,-0.45848,0.02235,0.60583,1.05790,-0.29703,-0.24836
48,199,-1.04071,0.60790,1.04148,0.60018,0.03149,-0.93695,0.42166,-0.39603,-0.98042,-0.75616,0.85977,0.40312,-0.38705,0.49174,-0.96619,-0.11353
49,199,0.67049,0.65980,0.58433,0.74216,-0.10120,-0.78934,0.05372,-0.66150,-0.61082,-0.29768,0.35598,1.03651,-0.74525,0.25256,1.28251,-0.72286
50,199,0.85978,-0.69942,0.58713,0.49642,-0.23598,0.19952,-0.12057,-0.15545,-1.01246,-0.79174,0.57239,0.61319,-0.69751,-0.23629,-0.86331,-0.34522
51,199,0.33964,0.92854,-0.17848,-0.95316,-0.52882,-1.05590,-0.12878,0.24357,-0.80219,-1.14199,-0.81478,0.89239,0.09433,-0.84065,-0.61040,-0.24159
52,199,0.61864,-0.59123,0.08577,0.56786,-0.29216,-0.30906,-0.46770,-0.80329,-0.68759,-0.81578,-0.19833,0.28794,-0.45125,-0.32820,-0.37993,0.14939
53,199,-0.27363,-0.82283,0.45022,0.70746,-0.60390,-1.10595,0.73321,-0.35452,-1.07490,0.45131,-0.38251,0.10950,0.51660,0.50078,-0.58401,-0.89595
54,198,0.21239,0.35551,-1.03699,-0.09446,0.05916,-0.40427,0.11261,-0.94519,-0.95274,-0.27929,-0.53173,0.61372,0.81956,-0.36643,-0.40029,0.43285
55,198,0.69822,-0.45062,-0.47803,-1.01521,-1.22958,-0.54101,0.44835,-0.89946,-0.93010,-0.03466,-0.17481,1.12657,0.29645,-0.28465,0.94331,0.58468
56,199,-0.57278,1.17489,-0.52715,0.36044,-1.21391,-0.78643,0.80409,-0.31273,-0.74868,-0.72509,-0.01568,0.93264,0.58223,-0.33854,-0.84994,-0.15086
57,199,0.19582,-0.52748,0.26929,-0.06089,-0.00225,0.11453,-0.13029,-0.60834,-1.10689,0.63329,-0.65899,0.92775,0.71636,0.47202,0.12064,-0.80465
58,199,-0.43544,0.65426,-0.45465,0.92752,-0.72547,-0.03505,-0.85784,-0.76513,-0.99229,-0.67024,-1.10102,0.94050,-0.44173,-0.96500,0.06871,-0.49307
59,199,-0.93944,0.62824,-0.43670,0.40442,-0.44215,-0.52512,-0.07065,-0.33358,-0.86827,-1.10300,-0.92038,0.48948,-0.42092,-0.05224,0.85829,0.25523
60,199,-0.71642,-0.36527,0.63449,0.29216,-0.26710,-0.25573,0.33015,0.06912,-0.99170,0.73859,-0.70875,0.38291,0.57855,-0.08615,0.24332,-1.09200
61,198,0.10567,-0.02038,-0.06746,0.75061,-0.39222,-0.58053,-0.80724,-0.10568,-0.75116,-1.02811,0.45358,0.61644,0.75730,-0.32167,-0.25793,-0.66059
62,199,-0.08757,0.63784,0.34776,-0.77008,-0.33401,0.88185,0.72420,-0.29384,-1.23035,-0.64846,-0.09730,-0.00372,-0.04925,0.46171,-0.42213,-0.33364
63,198,0.55343,0.60908,-0.18910,1.03151,-0.13754,-0.97935,0.31842,-0.45263,-1.01704,-0.85742,0.01632,1.07833,0.69094,-0.36743,-0.67471,-0.44684
64,196,-0.58668,-0.23639,0.69854,-0.22215,-0.39772,-0.53794,-0.50999,0.00713,0.05613,-0.30805,0.48837,0.87421,0.45264,-0.53067,0.89746,-0.52750
65,199,1.03989,-0.36320,-0.52835,-0.78886,-0.91064,-0.83697,-1.01731,-0.22774,-0.82388,0.33015,-0.86181,1.11162,0.95457,0.09945,-0.36660,-0.34684
66,199,1.08525,-0.40252,-0.51025,0.35791,-0.14536,-0.11195,0.39884,-0.52651,-0.58962,0.71808,0.88138,0.90836,0.17239,-0.45554,0.21119,-0.21607
